,Time_(Ma),Subduction_Volume_Flux_(m^3/Ma)
197,197,2.70911107268e+17
198,198,2.75060458684e+17
199,199,2.82043658355e+17
200,200,2.81897502319e+17
201,201,2.84177344213e+17
202,202,2.86174709307e+17
203,203,2.84632868897e+17
204,204,2.82178669865e+17
205,205,2.8560383604e+17
206,206,2.91235908896e+17
207,207,2.88783621948e+17
208,208,2.88307097615e+17
209,209,2.83559202265e+17
210,210,2.75735863608e+17
211,211,2.72744455257e+17
212,212,2.71666894182e+17
213,213,2.70382830722e+17
214,214,2.68099031212e+17
215,215,2.66596480821e+17
216,216,2.64317561798e+17
217,217,2.68744667932e+17
218,218,2.67646783858e+17
219,219,2.6745867805e+17
220,220,2.61389194935e+17
221,221,2.61354372728e+17
222,222,2.60356903767e+17
223,223,2.5954040426e+17
224,224,2.59439128931e+17
225,225,2.59660740191e+17
226,226,2.59810932741e+17
227,227,2.59664008698e+17
228,228,2.60730175798e+17
229,229,2.59180590495e+17
230,230,2.9163162545e+17
